player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Marc Pubill,Spain,Spain,DF,23-004,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Llorente,Spain,Spain,DF,31-145,1995,Atlético Madrid,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,50.0,90.0,1,0,,1,1.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Martín Zubimendi,Spain,Spain,MF,27-142,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Merino,Spain,Spain,MF,30-002,1996,Arsenal,2,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,3.6,1.8,0.0,0.0,25.0,27.8,,0,2,25.0,0,2.0,0.0,0.0,0.0,0.0,-2.77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Mikel Oyarzabal,Spain,Spain,FW,29-064,1997,Real Sociedad,2,2,135.0,1.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.33,0.67,2.0,1.33,2.0,10.0,4.0,40.0,6.67,2.67,0.2,0.5,68.0,75.0,68.0,1,0,,0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Nico Williams,Spain,Spain,MF,23-347,2002,Athletic Club,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,17.0,18.3,,0,2,17.0,0,2.0,0.0,0.0,0.0,0.0,-2.45,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Pau Cubarsí,Spain,Spain,DF,19-153,2007,Barcelona,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,2.0,4.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Pedri,Spain,Spain,MF,23-211,2002,Barcelona,2,2,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.7,0.57,0.0,0.0,80.0,88.3,80.0,1,0,,0,2.0,4.0,0.0,4.0,2.26,2.26,0.0,1.0,0.0,1.0,11.0,7.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Pedro Porro,Spain,Spain,DF,26-284,1999,Tottenham,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,1.0,0.0,0.0,90.0,50.0,90.0,1,0,,1,3.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,6.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Rodri,Spain,Spain,MF,30-002,1996,Manchester City,2,2,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.53,0.0,0.0,,88.0,97.8,88.0,1,0,,0,2.0,4.0,0.0,4.0,2.05,2.05,0.0,1.0,1.0,1.0,2.0,1.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
